drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
quinidine,6474,41890,0.6274,NA,NA,NA,NA,12280,1.576,9584,1.26,NA,NA,427,1.262
quinidine,6474,65020,0.5366,NA,NA,NA,NA,12280,1.367,9845,1.213,NA,NA,346.2,1.011
quinidine,6474,49180,0.6073,NA,NA,NA,NA,12030,1.589,10200,1.354,NA,NA,417.9,1.199
quinidine,6474,185300,0.4352,NA,NA,NA,NA,10670,1.655,9985,1.256,NA,NA,302.5,0.8736
quinidine,6474,90980,0.487,NA,NA,NA,NA,14010,1.279,9127,1.485,NA,NA,364.4,1.161
quinidine,6474,51060,0.5614,NA,NA,NA,NA,10760,1.857,7704,1.515,NA,NA,317.5,1.087
quinidine,6474,95760,0.5064,NA,NA,NA,NA,10350,1.749,9061,1.39,NA,NA,331.4,0.9862
quinidine,6474,92860,0.5128,NA,NA,NA,NA,11810,1.656,9908,1.271,NA,NA,326.2,0.9285
quinidine,6474,92280,0.5022,NA,NA,NA,NA,11800,1.52,8183,1.703,NA,NA,347.9,0.9776
quinidine,6474,47760,0.6103,NA,NA,NA,NA,13170,1.505,10910,1.185,NA,NA,426,1.469
quinidine,6474,64430,0.5711,NA,NA,NA,NA,12120,1.42,9499,1.404,NA,NA,359.2,0.9778
quinidine,6474,61890,0.5688,NA,NA,NA,NA,18140,1.041,10610,1.315,NA,NA,346.1,0.8872
quinidine,6474,40500,0.619,NA,NA,NA,NA,22990,0.9437,8824,1.371,NA,NA,291.2,0.9169
quinidine,6474,77510,0.5357,NA,NA,NA,NA,20700,1.021,7435,1.782,NA,NA,310.4,1.062
quinidine,6474,94490,0.4762,NA,NA,NA,NA,24960,0.9789,10050,1.353,NA,NA,401.8,0.9029
quinidine,6474,37740,0.6217,NA,NA,NA,NA,10280,1.752,7845,1.83,NA,NA,264.3,1.172
quinidine,6474,98860,0.5057,NA,NA,NA,NA,11820,1.698,9126,1.504,NA,NA,293.7,0.7933
quinidine,6474,45410,0.5974,NA,NA,NA,NA,12260,1.601,8833,1.666,NA,NA,320.1,1.07
quinidine,6474,41550,0.6444,NA,NA,NA,NA,10480,1.875,13210,1.005,NA,NA,311.2,0.7302
quinidine,6474,48250,0.6108,NA,NA,NA,NA,19220,1.084,8024,1.602,NA,NA,371.8,1.131
quinidine,6474,48720,0.6248,NA,NA,NA,NA,12070,1.649,8640,1.53,NA,NA,355.4,1.169
quinidine,6474,64700,0.5648,NA,NA,NA,NA,14750,1.29,8987,1.328,NA,NA,289.9,1.239
quinidine,6474,319100,0.3661,NA,NA,NA,NA,17000,1.223,10770,1.188,NA,NA,378,0.8764
quinidine,6474,84390,0.5486,NA,NA,NA,NA,10990,1.639,9267,1.312,NA,NA,328.6,1.133
quinidine,6474,58680,0.5797,NA,NA,NA,NA,11470,1.72,9932,1.206,NA,NA,357.5,1.204
quinidine,6474,64230,0.5288,NA,NA,NA,NA,13640,1.481,9168,1.427,NA,NA,413,1.093
quinidine,6474,49910,0.6138,NA,NA,NA,NA,11000,1.748,9003,1.382,NA,NA,332.5,0.6595
quinidine,6474,46130,0.6466,NA,NA,NA,NA,17570,1.162,8517,1.686,NA,NA,334.8,1.088
quinidine,6474,74840,0.5214,NA,NA,NA,NA,14080,1.289,8007,1.97,NA,NA,396.1,1.253
quinidine,6474,48280,0.5847,NA,NA,NA,NA,14580,1.295,8019,1.485,NA,NA,321.2,0.8909
